pos,pos_o,vel,vel_o,ang,ang_o,vel_ang,vel_ang_o
0.16407,0.1701,-0.37729,-0.41481,0.0090598,0.082249,-0.10443,0.014915
0.17162,0.17083,0.37729,-0.41267,0.011842,0.082399,0.063511,0.012728
0.17162,0.17132,0,-0.41711,0.013383,0.082504,-0.058626,0.013205
0.17162,0.17166,0,-0.41197,0.014071,0.082619,-0.028092,0.010844
0.17162,0.17187,0,-0.40989,0.014203,0.082689,0.032977,0.0082641
0.1723,0.17227,0.034299,-0.40899,0.015074,0.082706,-0.058626,0.0062086
0.17162,0.17227,-0.034299,-0.41032,0.014186,0.082683,-0.028092,0.0056139
0.1723,0.17252,0.034299,-0.40558,0.014421,0.082648,-0.073894,0.0031216
0.17162,0.1724,-0.034299,-0.40232,0.013156,0.082565,-0.028092,0.00025833
0.17162,0.17231,0,-0.40314,0.012117,0.082424,-0.058626,-0.00080991
0.1723,0.1725,0.034299,-0.4017,0.012353,0.082263,-0.012825,-0.00177
0.1723,0.17262,0,-0.40425,0.012282,0.082082,-0.043359,-0.00076381
0.17162,0.17242,-0.034299,-0.40035,0.010924,0.081921,-0.028092,-0.0015873
0.1723,0.17255,0.034299,-0.39917,0.011014,0.081745,-0.089161,-0.0022435
0.1723,0.17262,0,-0.4022,0.010913,0.081555,0.048244,-0.00080507
0.17162,0.1724,-0.034299,-0.40439,0.0096082,0.081393,-0.058626,0.0014737
0.1723,0.1725,0.034299,-0.40585,0.0098006,0.081276,-0.028092,0.0038227
0.17162,0.1723,-0.034299,-0.40546,0.0087262,0.081207,0.032977,0.0052553
0.17162,0.17216,0,-0.40297,0.0080036,0.081166,-0.10443,0.0050743
0.1723,0.17233,0.034299,-0.40609,0.0086314,0.081122,-0.073894,0.0065133
0.1723,0.17244,0,-0.40057,0.0089613,0.081107,0.017709,0.004867
0.1723,0.17252,0,-0.40229,0.0091005,0.08106,-0.028092,0.0047599
0.16476,0.16961,-0.37729,-0.40855,-0.0028783,0.081006,-0.058626,0.0077371
0.1723,0.17056,0.37729,-0.40788,0.002191,0.081015,0.10931,0.0092285
0.17299,0.1715,0.034299,-0.412,0.0066733,0.081052,-0.24183,0.011983
0.17162,0.17163,-0.068599,-0.42105,0.0073277,0.081141,-0.13496,0.017691
0.17162,0.17172,0,-0.42971,0.0077736,0.081342,-0.22657,0.02478
0.1723,0.17205,0.034299,-0.41728,0.0091293,0.081688,0.032977,0.02259
0.17162,0.17201,-0.034299,-0.4227,0.0088259,0.081988,-0.058626,0.023072
0.16476,0.1693,-0.34299,-0.42335,-0.0023158,0.082297,-0.028092,0.022978
0.16476,0.16742,0,-0.41815,-0.008754,0.082605,-0.15023,0.019794
0.16407,0.16588,-0.034299,-0.41928,-0.013073,0.08285,0.094045,0.017791
0.1723,0.16809,0.41159,-0.41695,-0.0017032,0.083057,-0.012825,0.014985
0.17162,0.16938,-0.034299,-0.4182,0.0046742,0.083207,-0.1197,0.013492
0.1723,0.17057,0.034299,-0.41926,0.0098556,0.083327,0.032977,0.01279
0.1723,0.1714,0,-0.41534,0.012961,0.083433,-0.028092,0.010292
0.17162,0.17169,-0.034299,-0.42685,0.013576,0.083486,-0.012825,0.013983
0.1723,0.17215,0.034299,-0.43322,0.014804,0.083611,-0.058626,0.018939
0.17162,0.17218,-0.034299,-0.42967,0.014161,0.083836,-0.089161,0.019837
0.1723,0.17246,0.034299,-0.43009,0.014576,0.084078,0.032977,0.020033
0.16407,0.16941,-0.41159,-0.4356,0.0014492,0.084321,-0.058626,0.022171
0.16407,0.1673,0,-0.43406,-0.006371,0.084608,0.017709,0.022117
0.1723,0.16908,0.41159,-0.431,0.0025389,0.084897,0.063511,0.019984
0.1723,0.17034,0,-0.4319,0.0083039,0.085142,-0.028092,0.018528
0.17162,0.17095,-0.034299,-0.43177,0.010768,0.085358,-0.012825,0.017079
0.1723,0.17164,0.034299,-0.44039,0.013277,0.085542,-0.089161,0.01977
0.17162,0.17185,-0.034299,-0.4437,0.013514,0.085778,-0.073894,0.022433
0.1723,0.17224,0.034299,-0.44024,0.014508,0.086069,-0.012825,0.021801
0.17162,0.17223,-0.034299,-0.43812,0.013741,0.086348,-0.043359,0.019789
0.1723,0.17248,0.034299,-0.43489,0.014098,0.086587,-0.043359,0.016499
0.17162,0.17237,-0.034299,-0.43045,0.012947,0.086762,-0.043359,0.012003
0.1723,0.17255,0.034299,-0.43309,0.013106,0.086846,-0.043359,0.010262
0.1723,0.17266,0,-0.43117,0.012972,0.086896,-0.028092,0.0081815
0.17162,0.17246,-0.034299,-0.42889,0.011569,0.086905,-0.043359,0.0058155
0.1723,0.17258,0.034299,-0.42828,0.011628,0.086866,0.017709,0.0041588
0.17162,0.17238,-0.034299,-0.42805,0.010407,0.086795,0.032977,0.0031898
0.17299,0.17278,0.068599,-0.42818,0.011723,0.086704,-0.089161,0.0028597
0.1723,0.17277,-0.034299,-0.43045,0.01128,0.086606,-0.058626,0.003934
0.1723,0.17276,0,-0.42687,0.010852,0.086531,-0.073894,0.0031058
0.1723,0.17275,0,-0.41971,0.010441,0.086441,-0.058626,-0.00052698
0.17162,0.17246,-0.034299,-0.41616,0.008969,0.086279,0.017709,-0.0040499
0.1723,0.17253,0.034299,-0.417,0.0090956,0.086047,-0.058626,-0.005307
0.1723,0.17257,0,-0.41865,0.0091165,0.08579,0.0024422,-0.0047305
0.17162,0.17233,-0.034299,-0.41567,0.0079725,0.085545,-0.043359,-0.0051982
0.17162,0.17216,0,-0.41703,0.0072568,0.08529,0.017709,-0.0042705
0.1723,0.17231,0.034299,-0.41135,0.0079179,0.085055,-0.073894,-0.0058061
0.17162,0.17215,-0.034299,-0.40671,0.007215,0.084792,-0.043359,-0.0083054
0.17162,0.17203,0,-0.40284,0.0067889,0.084479,0.0024422,-0.010935
0.1723,0.17223,0.034299,-0.40411,0.0076511,0.084114,-0.012825,-0.011136
0.1723,0.17236,0,-0.40698,0.0081842,0.083744,-0.028092,-0.0090797
0.17162,0.17218,-0.034299,-0.40288,0.0073877,0.083416,0.048244,-0.0089619
0.1723,0.17233,0.034299,-0.39925,0.0079845,0.083092,0.032977,-0.0098386
0.1723,0.17243,0,-0.40074,0.0083314,0.08275,-0.012825,-0.0089049
0.1723,0.1725,0,-0.4051,0.0085149,0.082426,-0.028092,-0.005564
0.16476,0.16958,-0.37729,-0.40864,-0.0034127,0.082166,0.0024422,-0.0012455
0.17162,0.17026,0.34299,-0.4071,0.00061966,0.081994,-0.058626,0.0010807
0.1723,0.17103,0.034299,-0.40703,0.0045232,0.08187,-0.058626,0.0027714
0.1723,0.17157,0,-0.41355,0.0070904,0.081777,-0.012825,0.007057
0.1723,0.17195,0,-0.41095,0.0087026,0.08177,-0.012825,0.0085123
0.1723,0.17221,0,-0.41614,0.0096628,0.081791,-0.058626,0.011777
0.17162,0.17212,-0.034299,-0.4106,0.0090689,0.081879,-0.043359,0.011019
0.17162,0.17205,0,-0.40898,0.0086341,0.081952,0.048244,0.0096325
0.17162,0.17201,0,-0.40738,0.0083161,0.081998,-0.089161,0.0079289
0.1723,0.17224,0.034299,-0.4086,0.0091801,0.082009,-0.058626,0.007417
0.1723,0.1724,0,-0.41271,0.0096513,0.082009,0.0024422,0.0090072
0.1723,0.1725,0,-0.41796,0.009864,0.082039,-0.10443,0.012364
0.1723,0.17257,0,-0.42092,0.0099075,0.082135,0.0024422,0.015594
0.17162,0.17234,-0.034299,-0.41967,0.0087475,0.082297,0.0024422,0.01664
0.1723,0.17245,0.034299,-0.42011,0.0090803,0.082479,-0.012825,0.017074
0.1723,0.17252,0,-0.41789,0.0092256,0.08267,0.017709,0.015873
0.17162,0.1723,-0.034299,-0.41716,0.0081577,0.082837,-0.012825,0.014409
0.1723,0.17241,0.034299,-0.42619,0.0085883,0.082973,0.0024422,0.017391
0.17162,0.17222,-0.034299,-0.42266,0.007728,0.083169,0.0024422,0.017145
0.1723,0.17236,0.034299,-0.42186,0.0082928,0.08336,-0.028092,0.016184
0.17299,0.17272,0.034299,-0.41708,0.0097052,0.083534,-0.028092,0.012968
0.1723,0.1727,-0.034299,-0.41833,0.0094023,0.083643,0.017709,0.01132
0.1723,0.17268,0,-0.42187,0.0091486,0.083717,0.0024422,0.011773
0.16476,0.16971,-0.37729,-0.41936,-0.0030753,0.0838,0.032977,0.01071
0.17162,0.17034,0.34299,-0.42217,0.00077557,0.083863,-0.028092,0.0112
0.16407,0.16785,-0.37729,-0.419,-0.0085286,0.083935,-0.043359,0.0098769
0.1723,0.16937,0.41159,-0.42713,-0.0004306,0.08398,-0.058626,0.01272
0.17299,0.17073,0.034299,-0.42772,0.0060549,0.084082,0.032977,0.014522
0.17162,0.17115,-0.068599,-0.4326,0.0079822,0.084217,-0.089161,0.017597
0.1723,0.17171,0.034299,-0.42432,0.010255,0.084417,-0.012825,0.015188
0.1723,0.17209,0,-0.42152,0.011549,0.084569,0.0024422,0.012054
0.17162,0.17209,-0.034299,-0.4219,0.011091,0.084658,-0.012825,0.010095
0.16476,0.16939,-0.34299,-0.4231,-0.0002499,0.084706,-0.058626,0.0093405
0.1723,0.17047,0.37729,-0.42534,0.0051121,0.08474,-0.043359,0.0098217
0.17162,0.17097,-0.034299,-0.42387,0.0074642,0.084784,0.0024422,0.0093362
0.17162,0.17132,0,-0.4267,0.0089448,0.084818,-0.043359,0.010275
0.16544,0.16915,-0.3087,-0.42886,-1.1958e-06,0.084868,0.017709,0.011757
0.17162,0.17006,0.3087,-0.42275,0.0046379,0.084951,-0.043359,0.009628
0.16476,0.16802,-0.34299,-0.4252,-0.0032522,0.08499,0.017709,0.0093773
0.16407,0.16636,-0.034299,-0.4329,-0.0087016,0.085021,-0.058626,0.012725
0.1723,0.16846,0.41159,-0.43191,0.0017843,0.085122,-0.043359,0.014092
0.16407,0.16672,-0.41159,-0.42845,-0.0045439,0.085249,-0.012825,0.013054
0.16476,0.16581,0.034299,-0.42097,-0.0068116,0.085358,-0.043359,0.0086827
0.16476,0.16521,0,-0.42386,-0.0075419,0.085378,0.032977,0.0072764
0.1723,0.16779,0.37729,-0.42991,0.0047247,0.085371,-0.073894,0.0092249
0.16407,0.16637,-0.41159,-0.4281,-0.00063411,0.0854,-0.028092,0.0095362
0.17367,0.16917,0.48019,-0.42444,0.011713,0.08544,-0.028092,0.007919
0.16544,0.16789,-0.41159,-0.42772,0.0060912,0.085443,0.0024422,0.0084541
0.16407,0.16646,-0.068599,-0.42936,0.00051894,0.085457,-0.058626,0.0095157
0.16476,0.16575,0.034299,-0.42998,-0.0014952,0.085493,-0.043359,0.010376
0.17162,0.16797,0.34299,-0.42923,0.0086031,0.085547,-0.012825,0.01042
0.16544,0.1671,-0.3087,-0.4268,0.004998,0.085601,-0.028092,0.0092094
0.16476,0.16623,-0.034299,-0.42526,0.0018079,0.085631,-0.028092,0.0076761
0.16476,0.16564,0,-0.42063,0.00010394,0.085633,-0.043359,0.0045717
0.16407,0.16497,-0.034299,-0.42571,-0.00168,0.085571,-0.043359,0.0051581
0.16407,0.16453,0,-0.42725,-0.0023429,0.08552,-0.012825,0.0063526
0.16476,0.16452,0.034299,-0.42693,-0.0011929,0.085493,-0.028092,0.0070018
0.16476,0.16454,0,-0.42359,-7.094e-05,0.08548,-0.043359,0.0058768
0.16476,0.16457,0,-0.42443,0.00098755,0.085445,-0.043359,0.0056523
0.16476,0.16461,0,-0.425,0.0019588,0.085405,0.0024422,0.005871
0.16476,0.16466,0,-0.42389,0.0028293,0.08537,0.017709,0.0055711
0.16476,0.1647,0,-0.42153,0.0035945,0.085329,0.017709,0.0043832
0.16407,0.16447,-0.034299,-0.42045,0.0031686,0.085265,-0.043359,0.0032935
0.16407,0.16433,0,-0.41538,0.003108,0.08518,-0.043359,0.00045884
0.16476,0.16451,0.034299,-0.41357,0.004369,0.08504,0.078778,-0.0018151
0.16407,0.16437,-0.034299,-0.41894,0.0042199,0.084852,-0.043359,-0.00029287
0.16476,0.16456,0.034299,-0.41822,0.005381,0.084696,-0.089161,0.00067004
0.17162,0.16738,0.34299,-0.41941,0.017124,0.084559,-0.043359,0.002119
0.16407,0.16638,-0.37729,-0.41273,0.01195,0.084452,-0.028092,0.00017101
0.16476,0.16593,0.034299,-0.41357,0.0096474,0.084305,-0.012825,-0.00031193
0.16476,0.16561,0,-0.41187,0.008131,0.08415,-0.028092,-0.0010488
0.16407,0.16512,-0.034299,-0.41076,0.0060786,0.08398,0.017709,-0.0016271
0.16476,0.16505,0.034299,-0.40852,0.0059674,0.0838,-0.028092,-0.0026155
0.16407,0.16474,-0.034299,-0.41444,0.0048934,0.083598,-0.058626,-1.4549e-05
0.16476,0.16479,0.034299,-0.4205,0.0054607,0.083447,0.063511,0.0047545
0.16407,0.16457,-0.034299,-0.41924,0.0048268,0.083391,0.0024422,0.0072438
0.16476,0.16469,0.034299,-0.42049,0.0056646,0.083384,0.017709,0.0093746
0.16544,0.16505,0.034299,-0.40316,0.0073407,0.083426,0.032977,0.0025377
0.14349,0.1567,-1.0976,-0.39545,-0.02655,0.083329,-0.073894,-0.00501
0.16407,0.15901,1.029,-0.39351,-0.013242,0.083087,0.032977,-0.010068
0.17162,0.16364,0.37729,-0.39461,0.0079349,0.082745,-0.089161,-0.011907
0.15858,0.16177,-0.65169,-0.39332,0.00027396,0.082363,-0.10443,-0.012742
0.16476,0.1629,0.30869,-0.38992,0.0056697,0.081967,-0.028092,-0.013943
0.16407,0.16342,-0.034299,-0.39107,0.0079912,0.081547,-0.073894,-0.013188
0.16476,0.16406,0.034299,-0.39155,0.010488,0.081141,-0.043359,-0.011571
0.16407,0.16422,-0.034299,-0.39047,0.010793,0.080768,0.0024422,-0.010222
0.1723,0.16756,0.41159,-0.39414,0.023924,0.080423,0.0024422,-0.0069052
0.17162,0.16958,-0.034299,-0.39404,0.030203,0.080143,-0.028092,-0.0042584
0.17162,0.17093,0,-0.39708,0.033053,0.079915,-0.043359,-0.00068613
0.17162,0.17181,0,-0.39815,0.03365,0.079758,-0.058626,0.002377
0.17162,0.17236,0,-0.40179,0.032833,0.079661,-0.089161,0.0061834
0.1723,0.17295,0.034299,-0.40122,0.032264,0.079641,-0.058626,0.0083177
0.1723,0.17329,0,-0.40132,0.030784,0.079663,0.017709,0.0096343
0.1723,0.17347,0,-0.40266,0.028811,0.07971,-0.012825,0.010962
0.17162,0.17327,-0.034299,-0.40027,0.025524,0.079785,-0.028092,0.010501
0.17162,0.17308,0,-0.4041,0.022676,0.07985,-0.028092,0.011848
0.17162,0.17291,0,-0.39843,0.020213,0.079943,-0.043359,0.0098314
